serialId|bookNum|shortName|name|bookCategory|authorId|publisher|lanId|edition|volume|pages|price|remarks|status
BK154|HNUP|HNUP|NAYI UDAN HINDI PRAVESHIKA|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK175|HNU1|HNU1|NAYI UDAN PART 1|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK176|HNU2|HNU2|NAYI UDAN PART II|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK177|HNU3|HNU3|NAYI UDAN PART III|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK178|HNU4|HNU4|NAYI UDAN PART IV|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK367|NCM1||NEW COMPOSITE MATHEMATICS I|{ "$ref" : "bookCategory", "$id" : 51}|61|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK491|NCM2|NCM2|NEW COMPOSITE MATHS II|{ "$ref" : "bookCategory", "$id" : 51}|61|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK492|NCM3|NCM3|NEW COMPOSITE MATHS III|{ "$ref" : "bookCategory", "$id" : 51}|61|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK493|NCM4|NCM4|NEW COMPOSITE MATHS IV|{ "$ref" : "bookCategory", "$id" : 51}|61|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK494|NCM5|NCM5|NEW COMPOSITE MATHS V|{ "$ref" : "bookCategory", "$id" : 51}|61|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK344|NCM6||NEW COMPOSITE MATHS VI|{ "$ref" : "bookCategory", "$id" : 51}|61|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK345|NCM7||NEW COMPOSITE MATHS VII|{ "$ref" : "bookCategory", "$id" : 51}|61|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK216|NELPP1|NELPP1|NEW EASY LEARNING PRE - PRIMER I|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK217|NELPP2|NELPP2|NEW EASY LEARNING PRE - PRIMER II|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK218|NELPP3|NELPP3|NEW EASY LEARNING PRE - PRIMER III|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK219|NELP1|NELP1|NEW EASY LEARNING PRIMER I|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
